HB2014,quarter,deaths,pats,crd_rate,label
Scotland,1,7560,223804,3.3779557112473415,All Admissions
Scotland,2,6238,222487,2.8037593207693035,All Admissions
Scotland,3,6166,219869,2.804397163765697,All Admissions
Scotland,4,7257,224026,3.239356146161606,All Admissions
Scotland,5,6857,229667,2.9856270165065073,All Admissions
Scotland,6,6163,224176,2.749179216330026,All Admissions
Scotland,7,6032,222348,2.7128645186824256,All Admissions
Scotland,8,6895,225327,3.0599972484433735,All Admissions
Scotland,9,6843,225138,3.0394691256029636,All Admissions
Scotland,10,6185,224461,2.755489817830269,All Admissions
Scotland,11,6094,222584,2.7378427919347303,All Admissions
Scotland,12,6875,218001,3.153655258462117,All Admissions
Scotland,13,6599,226654,2.9114862301128595,All Admissions
Scotland,14,6193,220853,2.8041276324070763,All Admissions
Scotland,15,6065,223701,2.711208264603198,All Admissions
Scotland,16,6600,226138,2.9185718455102636,All Admissions
Scotland,17,6671,233594,2.8558096526451875,All Admissions
Scotland,18,6424,227912,2.818631752606269,All Admissions
Scotland,19,6019,226394,2.6586393632340077,All Admissions
Scotland,20,7076,232835,3.039061996692937,All Admissions
Scotland,21,6975,227587,3.0647620470413512,All Admissions
Scotland,22,6254,229972,2.7194614996608286,All Admissions
Scotland,23,5923,229396,2.58199794242271,All Admissions
Scotland,24,6429,231980,2.7713595999655145,All Admissions
Scotland,25,6381,235801,2.706095393997481,All Admissions
Scotland,26,5915,233895,2.528912546228008,All Admissions
Scotland,27,6178,232011,2.6628047808078064,All Admissions
Scotland,28,6918,235417,2.938615308155316,All Admissions
Scotland,29,7377,236639,3.117406682753054,All Admissions
Scotland,30,6468,232029,2.7875825866594264,All Admissions
Scotland,31,6084,232440,2.61744966442953,All Admissions
Scotland,32,6724,236265,2.845956870463251,All Admissions
Scotland,33,7188,237306,3.0290005309600265,All Admissions
Scotland,34,6126,235752,2.5984933319759747,All Admissions
Scotland,35,6157,229165,2.686710448803264,All Admissions
Scotland,36,7107,230945,3.0773560804520557,All Admissions
Scotland,37,7120,230891,3.083706164380595,All Admissions
Scotland,38,6337,226918,2.792638750561877,All Admissions
Scotland,39,6172,224560,2.74848592803705,All Admissions
Scotland,40,7595,230719,3.2918831999098472,All Admissions
Scotland,41,7419,225059,3.2964689259260904,All Admissions
Scotland,1,31,28377,0.10924340134616062,0-19 years
Scotland,1,103,35980,0.28627015008337964,20-39 years
Scotland,1,804,57474,1.3988934126735568,40-59 years
Scotland,1,3457,72644,4.758823853312042,60-79 years
Scotland,1,3165,29329,10.79136690647482,80+ years
Scotland,2,39,28122,0.1386814593556646,0-19 years
Scotland,2,99,36630,0.2702702702702703,20-39 years
Scotland,2,694,57442,1.2081752028132724,40-59 years
Scotland,2,2859,72302,3.954247462034245,60-79 years
Scotland,2,2547,27991,9.099353363581152,80+ years
Scotland,3,36,26771,0.13447387097979155,0-19 years
Scotland,3,104,36858,0.2821639806826198,20-39 years
Scotland,3,721,57151,1.2615702262427604,40-59 years
Scotland,3,2826,71407,3.9575951937485123,60-79 years
Scotland,3,2479,27682,8.955277797846977,80+ years
Scotland,4,40,27816,0.14380212827149844,0-19 years
Scotland,4,120,35925,0.33402922755741127,20-39 years
Scotland,4,709,57125,1.2411378555798687,40-59 years
Scotland,4,3201,73588,4.349894004457249,60-79 years
Scotland,4,3187,29572,10.777086433112403,80+ years
Scotland,5,33,28124,0.11733750533352297,0-19 years
Scotland,5,100,38030,0.2629503023928477,20-39 years
Scotland,5,713,59480,1.1987222595830531,40-59 years
Scotland,5,3064,74805,4.095982888844329,60-79 years
Scotland,5,2947,29228,10.082797317640619,80+ years
Scotland,6,35,28170,0.12424565140220092,0-19 years
Scotland,6,105,36895,0.28459140804987126,20-39 years
Scotland,6,694,58005,1.1964485820187916,40-59 years
Scotland,6,2808,72963,3.848525965215246,60-79 years
Scotland,6,2521,28143,8.957822549124115,80+ years
