quarter,deaths,pred,pats,smr,crd_rate,location_type,location,location_name,quarter_reg,reg
1,7106,6372.929733,227816,1.11502877,3.119183903,Scotland,Scot,Scotland,0,0.986918025
2,6170,6056.158765,219005,1.018797598,2.817287277,Scotland,Scot,Scotland,0,0.986918025
3,6027,6017.764662,221375,1.001534679,2.722529644,Scotland,Scot,Scotland,0,0.986918025
4,6578,6432.666482,224682,1.022593044,2.927693362,Scotland,Scot,Scotland,0,0.986918025
5,6656,6672.328665,232279,0.997552779,2.865519483,Scotland,Scot,Scotland,0,0.986918025
6,6397,6535.026638,226003,0.978878948,2.830493401,Scotland,Scot,Scotland,0,0.986918025
7,5990,6278.790386,224121,0.954005411,2.672663427,Scotland,Scot,Scotland,0,0.986918025
8,7052,6728.159847,231343,1.048132054,3.048287608,Scotland,Scot,Scotland,0,0.986918025
9,6951,6778.861333,226375,1.025393449,3.070568747,Scotland,Scot,Scotland,0,0.986918025
10,6225,6510.886103,228037,0.956091061,2.729820161,Scotland,Scot,Scotland,0,0.986918025
11,5890,6399.259774,226851,0.920418956,2.596417913,Scotland,Scot,Scotland,0,0.986918025
12,6409,6668.168131,230400,0.961133534,2.781684028,Scotland,Scot,Scotland,0,0.986918025
13,6362,6743.536751,234499,0.943421862,2.713017966,Scotland,Scot,Scotland,1,0.980443643
14,5886,6607.915162,231983,0.890749935,2.537254885,Scotland,Scot,Scotland,2,0.973969262
15,6149,6615.130709,229654,0.929535677,2.677506161,Scotland,Scot,Scotland,3,0.96749488
16,6885,7039.696227,233950,0.978025156,2.942936525,Scotland,Scot,Scotland,4,0.961020498
17,7353,7364.416121,235452,0.998449827,3.122929514,Scotland,Scot,Scotland,5,0.954546117
18,6432,6943.112583,230207,0.92638567,2.794007133,Scotland,Scot,Scotland,6,0.948071735
19,6054,6791.551738,230071,0.891401587,2.631361623,Scotland,Scot,Scotland,7,0.941597354
20,6694,7114.688568,234740,0.940870417,2.851665673,Scotland,Scot,Scotland,8,0.935122972
21,7167,7447.171431,235966,0.962378813,3.037301984,Scotland,Scot,Scotland,9,0.92864859
